case_id,case_name,year,domain,jurisdiction,access_level,outcome,plaintiff_type,representation,outcome_type,algorithm_type,notes,legal_citation,docket_number,primary_source_url,secondary_source_url,verification_status,last_verified
GOV-32,Bates & Others v Post Office Ltd (No. 3) (Common Issues Trial),2019,Government/Services,UK,Full,Achieved,private_class,private_counsel,policy_change,rule_based,High Court “Common Issues” judgment in Horizon Group Litigation; major accountability findings re contractual/governance obligations around Horizon accounting system,Bates v Post Office Ltd (No 3),[2019] EWHC 606 (QB),,https://www.judiciary.uk/wp-content/uploads/2019/03/bates-v-post-office-judgment-no3-15-mar-19.pdf,https://www.haynesboone.com/-/media/project/haynesboone/haynesboone/pdfs/attorney-publications/2019/return-to-sender--post-office-group-litigation.pdf,Verified,2025-12-27
GOV-33,Bates & Others v Post Office Ltd (Horizon Issues),2019,Government/Services,UK,Full,Achieved,private_class,private_counsel,policy_change,rule_based,High Court “Horizon Issues” judgment finding bugs/errors/defects and reliability problems in Horizon; cornerstone for accountability narrative,[2019] EWHC 3408 (QB),,https://www.judiciary.uk/wp-content/uploads/2019/12/bates-v-post-office-judgment.pdf,https://www.judiciary.uk/judgments/bates-others-v-post-office/,Verified,2025-12-27
EMP-37,Uber (drivers) v Uber (GDPR access/ADM transparency),2021,Employment,Netherlands,Full,Achieved,union,public_interest,policy_change,machine_learning,Amsterdam District Court ordered production of categories of data incl. algorithmic profiling/automated decision info under GDPR access rights (part of Uber/Ola transparency litigation),Rb. Amsterdam,ECLI:NL:RBAMS:2021:1018,C/13/692003 / HA RK 20-302,https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBAMS:2021:1018,https://www.workerinfoexchange.org/post/gig-workers-score-historic-digital-rights-victory-against-uber-ola-2,Verified,2025-12-27
EMP-38,Ola (drivers) v Ola (GDPR access/ADM transparency),2021,Employment,Netherlands,Full,Achieved,union,public_interest,policy_change,machine_learning,Amsterdam District Court ruling in linked litigation on GDPR access rights and meaningful information about logic in automated decisions (Ola case),Rb. Amsterdam,ECLI:NL:RBAMS:2021:1019,C/13/689705 / HA RK 20-258,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2021:1019,https://fpf.org/wp-content/uploads/2022/05/FPF-ADM-Report-R2-singles.pdf,Verified,2025-12-27
EMP-39,Uber (drivers) v Uber (GDPR access/ADM transparency) (linked ruling),2021,Employment,Netherlands,Full,Achieved,union,public_interest,policy_change,machine_learning,Companion Amsterdam District Court decision in Uber/Ola series on GDPR access and automated decision-making transparency, Rb. Amsterdam,ECLI:NL:RBAMS:2021:1020,C/13/687315 / HA RK 20-207,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2021:1020,https://fpf.org/wp-content/uploads/2022/05/FPF-ADM-Report-R2-singles.pdf,Verified,2025-12-27
HOU-24,RealPage Inc. v. James (challenge to NY “Rent Advice”/algorithmic pricing ban),2025,Housing,US-Federal,Partial,Ongoing,corporate,private_counsel,pending,machine_learning,RealPage filed federal constitutional challenge seeking to enjoin NY ban on algorithmic rent-pricing advice/recommendations (First Amendment/Due Process arguments),RealPage Inc. v. James,,S.D.N.Y. (filed Nov 2025),https://www.realpage.com/news/realpage-sues-to-stop-unconstitutional-new-york-law-banning-lawful-speech/,https://www.paulweiss.com/insights/client-memos/practical-takeaways-from-the-doj-s-algorithmic-pricing-settlement,Verified,2025-12-27
EMP-40,"Saas v. Major, Lindsey & Africa, LLC",2024,Employment,US-Federal,None,Denied,individual,private_counsel,none,machine_learning,Dismissal/affirmance in AI-hiring discrimination suit; court found allegations about AI use were speculative and not supported by evidence; illustrates evidentiary barriers when plaintiffs cannot access hiring system details early.,"Saas v. Major, Lindsey & Africa, LLC",No. 24-1527 (4th Cir. Nov. 21, 2024),https://cases.justia.com/federal/appellate-courts/ca4/24-1527/24-1527-2024-11-21.pdf?ts=1732210218,https://www.abajournal.com/news/article/plaintiff-fails-to-allege-ai-hiring-program-discriminated-against-women-with-mom-gaps,Verified,2025-12-27
CJ-33,"Simmons v. Motorola Solutions, Inc. (Vigilant Solutions/FaceSearch) (BIPA)",2025,Criminal Justice,US-IL,Partial,Achieved,private_class,private_counsel,pending,machine_learning,$47.5M BIPA settlement; final approval Sept 2025; FaceSearch facial recognition,"Simmons v. Motorola Solutions, Inc.",Case No. 2024-L-010142 (Cook Cty. Ill. Cir. Ct.),2024-L-010142 (Cook County, IL),https://simmonsbipasettlement.com/,https://www.prnewswire.com/news-releases/if-you-are-or-were-an-illinois-resident-or-were-present-in-illinois-and-your-photo-was-taken-or-used-by-law-enforcement-you-may-be-eligible-for-payment-from-a-class-action-settlement-302466365.html,Verified,2025-12-27
EMP-41,Glovo “Jarvis” algorithm disclosure order (Court of Palermo),2023,Employment,Italy,Partial,Achieved,individual,private_counsel,policy_change,machine_learning,Italian court order requiring disclosure of logic/mechanism used by Glovo’s 'Jarvis' system for assigning deliveries; notable for rejecting blanket trade-secrecy resistance in platform-work context.,Court of Palermo (Tribunale di Palermo) disclosure order (June 20, 2023),,https://apps.eurofound.europa.eu/platformeconomydb/italian-court-rules-glovo-must-disclose-ai-logic-and-mechanism-for-assigning-deliveries-to-riders-110036,,Verified,2025-12-27
GOV-34,NY State Comptroller Audit — NYC Local Law 144 (Automated Employment Decision Tools) enforcement,2025,Government/Services,US-NY,Full,Achieved,state_agency,government,policy_change,rule_based,"Audit found NYC DCWP enforcement of Local Law 144 inadequate; documents implementation/enforcement gaps in first-of-kind AI hiring regulation (e.g., low complaint intake and missed noncompliance).",Enforcement of Local Law 144 — Automated Employment Decision Tools (OSC Audit),,https://www.osc.ny.gov/state-agencies/audits/2025/12/02/enforcement-local-law-144-automated-employment-decision-tools,,Verified,2025-12-27
PLT-06,Herrick v. Grindr LLC,2019,Platform Liability,US-Federal,Full,Denied,individual,private_counsel,none,rule_based,Tort/product-liability theories against Grindr over impersonation and harassment; claims barred (incl. Section 230 analysis) in federal appellate disposition; widely cited in platform-liability context.,Herrick v. Grindr LLC,765 F. App’x 586 (2d Cir. 2019),,https://vlex.com/vid/herrick-v-grindr-889775968,https://www.documentcloud.org/documents/5971627-Herrick-v-Grindr-Dec2017-TRO-Request.html,Verified,2025-12-27
